Date,Close,High,Low,Open,Volume,Ticker
,EEM,EEM,EEM,EEM,EEM,
2020-04-17,32.205291748046875,32.400691743238355,31.974367253105385,32.35628357745644,40870300,EEM
2020-04-20,31.796722412109375,32.187522294461374,31.73455031957609,31.867778168218805,44402700,EEM
2020-04-21,30.91742706298828,31.24605143927768,30.85525497526122,31.068415450861227,46166600,EEM
2020-04-22,31.761198043823242,31.85889802520757,31.69902594441963,31.778961984813602,37455800,EEM
2020-04-23,31.64574432373047,32.2319409501346,31.627980378915066,32.009896722131124,40733100,EEM
2020-04-24,31.601337432861328,31.743445609001533,31.30823741375118,31.699034051105205,30553700,EEM
2020-04-27,32.240814208984375,32.302986308239106,31.965481594606363,32.01877002932453,30617400,EEM
2020-04-28,32.30298614501953,32.72931056123728,32.285222204161464,32.70266634401282,34463600,EEM
2020-04-29,33.24445724487305,33.30662934860707,32.791485188381685,32.853660680241255,45483100,EEM
2020-04-30,32.54279708862305,33.18228546250993,32.3296365560778,33.07570519623731,59181700,EEM
2020-05-01,31.370407104492188,31.86778737660437,31.263826827655976,31.752323433625023,56829000,EEM
2020-05-04,31.707914352416992,31.743442239712614,31.370406199360225,31.494750416769083,37036200,EEM
2020-05-05,31.885549545288086,32.187529802947175,31.850021658945668,32.027657702532025,41772700,EEM
2020-05-06,31.787845611572266,32.11647004918989,31.770081670603027,32.08094216725142,36584500,EEM
2020-05-07,32.04541778564453,32.187525925770714,31.894425980939975,32.08982594416047,36883300,EEM
2020-05-08,32.72043991088867,32.818139920287734,32.42733988269148,32.453987495880675,60613000,EEM
2020-05-11,32.507266998291016,32.720430904499224,32.47174250402743,32.525030939485475,31053700,EEM
2020-05-12,32.38291931152344,33.004643633889835,32.37403903594498,32.77371919947517,49641400,EEM
2020-05-13,32.32075500488281,32.81813526023081,32.107594458394956,32.74707948598432,55002900,EEM
2020-05-14,32.445098876953125,32.498390707071756,31.583569646186096,31.699030195921146,58633700,EEM
2020-05-15,32.001007080078125,32.151998888751166,31.832254718032168,31.9388349788967,40402000,EEM
2020-05-18,33.25333786010742,33.324393629740676,32.782605244726646,32.79148552186801,47487700,EEM
2020-05-19,32.98688507080078,33.35992108026791,32.969121128623726,33.200048988799935,36152600,EEM
2020-05-20,33.42209243774414,33.670780846420406,33.23557274311148,33.510908758521246,43140300,EEM
2020-05-21,33.04017639160156,33.33327296272288,32.88030430258067,33.21781242252761,42845500,EEM
2020-05-22,32.35628128051758,32.52503365375965,32.24970101258182,32.52503365375965,47355000,EEM
2020-05-26,33.06682586669922,33.51091432054389,33.0312979772414,33.3776898172661,54511200,EEM
2020-05-27,33.173397064208984,33.24445282366985,32.78260055154949,33.21780860793457,47182400,EEM
2020-05-28,32.942474365234375,33.439854543402106,32.92471042442925,33.27998246428124,53388700,EEM
2020-05-29,33.51090621948242,33.57307831694086,32.942473678076574,33.17339812747575,63616700,EEM
2020-06-01,34.28362274169922,34.3102703493269,33.75959830002911,33.82177379240999,49360200,EEM
2020-06-02,35.10074996948242,35.14515813492773,34.621133651171036,34.70106970422293,54010500,EEM
2020-06-03,35.917869567871094,35.98892534014096,35.51819270729307,35.57148114836976,60769300,EEM
2020-06-04,35.41160202026367,35.68693800097115,35.23396601297256,35.447129899346905,50969300,EEM
2020-06-05,36.34419631958008,36.55736026165097,36.25537998679066,36.32643576352293,52467500,EEM
2020-06-08,36.56623840332031,36.58400234646553,36.02445338395683,36.23761392544804,39777100,EEM
2020-06-09,36.31754684448242,36.397482887681505,35.908986351742875,36.04221421978315,44389800,EEM
2020-06-10,36.58399963378906,36.69058328475729,36.1221473106365,36.4241275454622,81172700,EEM
2020-06-11,34.6744270324707,35.59813182277497,34.63001886504042,35.40273182033053,91271100,EEM
2020-06-12,35.41160202026367,35.615882242804695,34.887577662223656,35.544829872763266,73779500,EEM
2020-06-15,35.09001541137695,35.295480985014805,34.3932188218412,34.5004175107425,76868600,EEM
2020-06-16,35.3133430480957,35.97440892046681,35.0632116731477,35.97440892046681,79638000,EEM
2020-06-17,35.652801513671875,35.831468201993744,35.54560286379221,35.61706749445077,61471100,EEM
2020-06-18,35.670677185058594,35.804678085784836,35.55454329828148,35.56347850914828,48131400,EEM
2020-06-19,35.6617431640625,36.16200934797636,35.536677470030185,36.153077544596016,72411300,EEM
2020-06-22,36.09946823120117,36.1798680743444,35.82253468086699,35.90293452401021,39024200,EEM
2020-06-23,36.4478759765625,36.68907556926363,36.41214194628425,36.52827584079621,32995800,EEM
2020-06-24,35.96546936035156,36.41213442319032,35.71533801565273,36.30493576228854,51150200,EEM
2020-06-25,36.117340087890625,36.126271890423325,35.71534081823408,35.84040650039739,48199000,EEM
2020-06-26,35.67959976196289,36.02800133220311,35.527735294341724,36.01013432287411,53901200,EEM
2020-06-29,35.84040832519531,35.858275338954655,35.483078273361734,35.688543819917534,34712700,EEM
2020-06-30,35.72427749633789,35.813609156472225,35.50094493821766,35.77787512930473,67644600,EEM
2020-07-01,36.12627410888672,36.260275009595794,35.89400974314672,35.92080856017475,51766200,EEM
2020-07-02,36.94813919067383,37.1625365394447,36.78733947520347,36.9034733603286,42240200,EEM
2020-07-06,38.538265228271484,38.5472004388499,38.21666580313572,38.21666580313572,69159900,EEM
2020-07-07,37.89507293701172,38.30600750013583,37.8772093283317,38.04694087307137,34004100,EEM
2020-07-08,38.87772750854492,38.87772750854492,38.36852960913689,38.41319543389858,42278100,EEM
2020-07-09,38.87772750854492,39.27079153734537,38.52932930450616,39.21719391074494,64950400,EEM
2020-07-10,38.62759780883789,38.681195437721094,38.36853124328862,38.6186625988346,45293500,EEM
2020-07-13,38.3685302734375,39.181460566197416,38.29706222635423,38.89559519343244,47039600,EEM
2020-07-14,38.42212677001953,38.52932883748897,37.83252903007343,37.92186408629796,56528000,EEM
2020-07-15,38.538265228271484,38.7258637570059,38.38640072628201,38.654399111300364,48309100,EEM
2020-07-16,37.99332809448242,38.02906211638063,37.74319675676277,37.796797789610075,36512000,EEM
2020-07-17,38.207733154296875,38.2881330088005,38.01119941933595,38.270265995823664,40913000,EEM
2020-07-20,38.699066162109375,38.74373199305794,38.314933881939645,38.422132557773104,23319300,EEM
2020-07-21,39.056400299072266,39.32439869717168,39.0385332848277,39.306531682927115,44420500,EEM
2020-07-22,38.886661529541016,39.04746123408669,38.67226419533623,39.04746123408669,31232200,EEM
2020-07-23,38.57400131225586,39.01173123598128,38.38640277351639,38.85986672589253,39243400,EEM
2020-07-24,38.538265228271484,38.538265228271484,38.08266831451872,38.16306817080266,30184800,EEM
2020-07-27,39.13679504394531,39.163593857917185,38.69012996956568,38.80626043529985,39112200,EEM
2020-07-28,38.8151969909668,39.10999417823099,38.77053116353697,39.06532835080117,31219100,EEM
2020-07-29,39.44052505493164,39.54772371214555,39.172523300221066,39.172523300221066,37830900,EEM
2020-07-30,38.94026184082031,39.09212633240136,38.582928413430366,38.975995865116126,47900300,EEM
2020-07-31,38.67226028442383,38.98492445176292,38.3774597199751,38.97599265031774,62457700,EEM
2020-08-03,38.94026184082031,39.029593493775735,38.77946213927325,38.81519616356907,30603000,EEM
2020-08-04,39.458396911621094,39.458396911621094,39.10106684356956,39.1099986469624,40597400,EEM
2020-08-05,39.8871955871582,40.065858904487484,39.77999350741943,39.80679573124629,36768200,EEM
2020-08-06,40.01225662231445,40.03012363352781,39.62812440068723,39.771057082610106,33523700,EEM
2020-08-07,39.19039535522461,39.4405301312969,38.98492981587601,39.2975974340203,35759300,EEM
2020-08-10,39.288665771484375,39.36906563394941,38.984933336370304,39.25293174199222,26964700,EEM
2020-08-11,39.18145751953125,39.628122555717816,39.13679169746935,39.547722712892885,34166400,EEM
2020-08-12,39.70852279663086,39.8246566613831,39.49412207768702,39.58345713049021,30740100,EEM
2020-08-13,39.5923957824707,39.726396680969486,39.42266426445207,39.66386383707923,26509200,EEM
2020-08-14,39.520931243896484,39.58346408795802,39.44053138613388,39.49412901945267,24593800,EEM
2020-08-17,40.02119064331055,40.039057655514675,39.75319227581692,39.8157251146393,26422200,EEM
2020-08-18,39.97652053833008,40.0837191922981,39.717454000772236,40.02118636016811,34464800,EEM
2020-08-19,39.48519515991211,39.86039220473923,39.47625994963475,39.85146040224612,28391100,EEM
2020-08-20,39.36012268066406,39.36905448161462,38.74372277378228,38.82412261347192,38399500,EEM
2020-08-21,39.55665588378906,39.574522894789204,39.11892604152932,39.28865753435478,34657800,EEM
